"applicant_id","dept","gender","admit"
1,"D","Female","Admitted"
2,"C","Female","Admitted"
3,"C","Female","Admitted"
4,"C","Female","Admitted"
5,"A","Female","Admitted"
6,"B","Male","Rejected"
7,"B","Male","Admitted"
8,"A","Male","Admitted"
9,"F","Male","Rejected"
10,"C","Male","Admitted"
11,"D","Female","Rejected"
12,"E","Male","Rejected"
13,"F","Female","Rejected"
14,"C","Male","Admitted"
15,"D","Female","Rejected"
16,"C","Female","Admitted"
17,"F","Female","Rejected"
18,"F","Female","Rejected"
19,"A","Male","Rejected"
20,"E","Male","Rejected"
21,"B","Male","Admitted"
22,"C","Female","Admitted"
23,"B","Male","Rejected"
24,"D","Female","Rejected"
25,"B","Male","Admitted"
26,"C","Male","Rejected"
27,"C","Female","Rejected"
28,"F","Female","Rejected"
29,"D","Female","Admitted"
30,"D","Male","Rejected"
31,"D","Male","Rejected"
32,"F","Male","Rejected"
33,"A","Male","Rejected"
34,"B","Male","Admitted"
35,"A","Female","Admitted"
36,"B","Male","Admitted"
37,"C","Female","Admitted"
38,"B","Male","Rejected"
39,"D","Male","Rejected"
40,"E","Male","Rejected"
41,"D","Female","Admitted"
42,"A","Female","Admitted"
43,"C","Female","Rejected"
44,"A","Male","Rejected"
45,"B","Male","Rejected"
46,"A","Male","Admitted"
47,"C","Female","Rejected"
48,"A","Female","Admitted"
49,"E","Female","Admitted"
50,"D","Female","Admitted"
51,"C","Male","Rejected"
52,"E","Female","Admitted"
53,"C","Female","Admitted"
54,"F","Male","Rejected"
55,"C","Male","Rejected"
56,"E","Female","Rejected"
57,"D","Female","Rejected"
58,"A","Male","Admitted"
59,"E","Male","Admitted"
60,"F","Male","Rejected"
61,"A","Male","Admitted"
62,"B","Male","Admitted"
63,"A","Male","Rejected"
64,"B","Female","Rejected"
65,"A","Female","Rejected"
66,"E","Female","Rejected"
67,"B","Male","Rejected"
68,"B","Male","Rejected"
69,"C","Female","Rejected"
70,"D","Male","Rejected"
71,"C","Female","Admitted"
72,"C","Male","Rejected"
73,"E","Male","Rejected"
74,"F","Male","Rejected"
75,"D","Female","Rejected"
76,"E","Female","Rejected"
77,"C","Female","Rejected"
78,"A","Female","Admitted"
79,"E","Male","Admitted"
80,"C","Female","Rejected"
81,"D","Female","Rejected"
82,"F","Male","Admitted"
83,"F","Female","Admitted"
84,"B","Male","Admitted"
85,"C","Female","Rejected"
86,"D","Female","Admitted"
87,"B","Male","Admitted"
88,"E","Female","Rejected"
89,"E","Male","Rejected"
90,"F","Male","Rejected"
91,"E","Female","Rejected"
92,"A","Male","Admitted"
93,"F","Female","Rejected"
94,"E","Female","Admitted"
95,"B","Male","Admitted"
96,"E","Female","Rejected"
97,"F","Male","Rejected"
98,"D","Male","Rejected"
99,"F","Male","Rejected"
100,"B","Male","Admitted"
101,"C","Male","Rejected"
102,"C","Male","Rejected"
103,"C","Female","Rejected"
104,"B","Male","Rejected"
105,"A","Male","Admitted"
106,"E","Female","Rejected"
107,"A","Male","Rejected"
108,"F","Female","Rejected"
109,"C","Female","Rejected"
110,"F","Female","Rejected"
111,"E","Male","Admitted"
112,"C","Female","Rejected"
113,"B","Male","Rejected"
114,"B","Male","Admitted"
115,"E","Female","Rejected"
116,"B","Male","Rejected"
117,"C","Female","Rejected"
118,"A","Male","Admitted"
119,"E","Female","Rejected"
120,"A","Male","Rejected"
121,"B","Male","Admitted"
122,"B","Male","Admitted"
123,"B","Male","Rejected"
124,"D","Female","Rejected"
125,"C","Male","Rejected"
126,"F","Male","Rejected"
127,"A","Female","Admitted"
128,"E","Male","Rejected"
129,"A","Male","Rejected"
130,"C","Male","Admitted"
131,"E","Male","Admitted"
132,"C","Female","Admitted"
133,"A","Female","Admitted"
134,"E","Female","Rejected"
135,"F","Male","Rejected"
136,"A","Female","Admitted"
137,"D","Male","Rejected"
138,"B","Male","Admitted"
139,"C","Male","Admitted"
140,"A","Male","Rejected"
141,"D","Female","Admitted"
142,"A","Female","Rejected"
143,"F","Female","Rejected"
144,"C","Male","Admitted"
145,"A","Female","Admitted"
146,"E","Male","Rejected"
147,"D","Male","Admitted"
148,"E","Female","Rejected"
149,"D","Male","Admitted"
150,"E","Female","Rejected"
151,"E","Female","Rejected"
152,"D","Female","Rejected"
153,"B","Male","Admitted"
154,"F","Male","Rejected"
155,"E","Female","Rejected"
156,"A","Female","Admitted"
157,"A","Male","Admitted"
158,"D","Female","Admitted"
159,"F","Male","Rejected"
160,"E","Female","Admitted"
161,"B","Male","Admitted"
162,"A","Male","Rejected"
163,"C","Male","Rejected"
164,"C","Male","Rejected"
165,"E","Female","Rejected"
166,"D","Female","Rejected"
167,"E","Male","Admitted"
168,"C","Male","Rejected"
169,"E","Male","Admitted"
170,"A","Male","Admitted"
171,"A","Male","Rejected"
172,"F","Female","Rejected"
173,"A","Male","Rejected"
174,"D","Female","Admitted"
175,"C","Female","Admitted"
176,"C","Female","Admitted"
177,"E","Female","Rejected"
178,"C","Female","Admitted"
179,"D","Female","Rejected"
180,"B","Male","Rejected"
181,"D","Female","Admitted"
182,"F","Male","Rejected"
183,"D","Male","Rejected"
184,"C","Female","Admitted"
185,"C","Female","Rejected"
186,"D","Male","Rejected"
187,"A","Female","Admitted"
188,"D","Male","Rejected"
189,"B","Male","Admitted"
190,"B","Male","Admitted"
191,"D","Male","Admitted"
192,"C","Male","Rejected"
193,"A","Male","Rejected"
194,"C","Female","Rejected"
195,"C","Female","Admitted"
196,"A","Male","Rejected"
197,"D","Male","Rejected"
198,"A","Male","Rejected"
199,"B","Male","Rejected"
200,"A","Male","Admitted"
201,"C","Female","Admitted"
202,"F","Female","Rejected"
203,"D","Female","Rejected"
204,"A","Male","Admitted"
205,"D","Male","Rejected"
206,"C","Male","Rejected"
207,"C","Female","Admitted"
208,"C","Female","Admitted"
209,"D","Male","Rejected"
210,"F","Male","Rejected"
211,"C","Female","Rejected"
212,"C","Male","Admitted"
213,"C","Female","Rejected"
214,"A","Male","Admitted"
215,"C","Female","Rejected"
216,"D","Female","Admitted"
217,"A","Male","Rejected"
218,"F","Male","Rejected"
219,"D","Male","Rejected"
220,"D","Male","Rejected"
221,"A","Male","Admitted"
222,"C","Female","Rejected"
223,"A","Male","Admitted"
224,"D","Male","Rejected"
225,"A","Male","Rejected"
226,"A","Male","Rejected"
227,"C","Male","Admitted"
228,"C","Female","Admitted"
229,"D","Female","Admitted"
230,"A","Female","Admitted"
231,"B","Male","Rejected"
232,"F","Female","Rejected"
233,"C","Female","Admitted"
234,"F","Female","Rejected"
235,"F","Female","Rejected"
236,"C","Female","Rejected"
237,"B","Male","Admitted"
238,"E","Female","Admitted"
239,"D","Male","Rejected"
240,"A","Female","Admitted"
241,"A","Female","Admitted"
242,"F","Female","Rejected"
243,"F","Male","Rejected"
244,"D","Male","Rejected"
245,"E","Female","Admitted"
246,"B","Male","Rejected"
247,"F","Female","Rejected"
248,"F","Male","Rejected"
249,"C","Female","Rejected"
250,"B","Male","Admitted"
251,"B","Male","Admitted"
252,"D","Female","Rejected"
253,"A","Male","Rejected"
254,"D","Male","Admitted"
255,"F","Male","Admitted"
256,"F","Male","Rejected"
257,"F","Male","Rejected"
258,"C","Male","Admitted"
259,"C","Male","Admitted"
260,"F","Male","Rejected"
261,"C","Female","Rejected"
262,"A","Male","Admitted"
263,"E","Female","Admitted"
264,"D","Female","Rejected"
265,"A","Male","Admitted"
266,"D","Male","Admitted"
267,"A","Male","Admitted"
268,"B","Male","Admitted"
269,"C","Male","Admitted"
270,"F","Female","Rejected"
271,"B","Male","Rejected"
272,"F","Male","Rejected"
273,"F","Male","Rejected"
274,"C","Female","Rejected"
275,"A","Male","Admitted"
276,"E","Female","Rejected"
277,"B","Male","Rejected"
278,"B","Male","Admitted"
279,"A","Male","Admitted"
280,"A","Male","Admitted"
281,"A","Female","Admitted"
282,"A","Female","Admitted"
283,"F","Female","Rejected"
284,"B","Male","Admitted"
285,"F","Female","Rejected"
286,"A","Male","Admitted"
287,"D","Male","Rejected"
288,"C","Female","Rejected"
289,"A","Male","Admitted"
290,"C","Male","Rejected"
291,"D","Male","Admitted"
292,"C","Female","Rejected"
293,"E","Female","Rejected"
294,"C","Male","Rejected"
295,"C","Female","Admitted"
296,"C","Female","Rejected"
297,"A","Male","Admitted"
298,"D","Female","Admitted"
299,"B","Male","Admitted"
300,"C","Female","Rejected"
301,"C","Male","Admitted"
302,"E","Female","Rejected"
303,"A","Male","Rejected"
304,"F","Male","Rejected"
305,"A","Male","Rejected"
306,"E","Female","Admitted"
307,"D","Female","Rejected"
308,"C","Male","Rejected"
309,"F","Male","Rejected"
310,"C","Female","Admitted"
311,"F","Male","Rejected"
312,"F","Male","Rejected"
313,"A","Female","Admitted"
314,"C","Female","Rejected"
