T–Hg,Zn,Cu,Se,Fe,Product
414,49,13.4,155,147,liver
353,52.5,10.7,115,169,liver
286,61.6,15,144,327,liver
645,56.6,12.8,191,398,liver
30.2,50.4,6.7,11.2,143,liver
36.8,53.8,10.7,12.6,106,liver
204,59,6.6,86.3,156,liver
504,83.9,8.74,166,816,liver
1980,87.2,13.6,656,392,liver
914,85.3,11.4,346,197,liver
422,88.8,12,174,190,liver
390,91.9,12.5,145,282,liver
39,59.4,4.74,13.6,178,liver
22.7,N.A,N.A,48.5,N.A,liver
41.2,N.A,N.A,12.7,N.A,liver
55.9,N.A,N.A,27.7,N.A,liver
41.1,N.A,N.A,14.8,N.A,liver
72.6,58.9,8.68,24.1,199,liver
58.5,59.9,9.08,22.7,231,liver
47.4,58.4,9.23,18.1,226,liver
174,62.7,6.34,71.1,41.8,liver
7.6,56,6.71,3.64,90.5,liver
393,50.6,10.3,160,215,liver
1973,57.5,9.14,694,883,liver
134,62.2,11.9,47.4,191,liver
368,66.7,13.4,157,137,liver
24,32.4,3.13,14.1,118,kidney
23.9,28.9,2.92,11.6,166,kidney
13.7,31.9,2.16,6.39,74.4,kidney
28.8,38.5,2.29,11.9,161,kidney
95.1,24.6,1.83,37.8,105,kidney
24.1,24.7,2.02,11.2,165,kidney
142,47.9,1.89,52.6,177,kidney
7.3,50,2.79,5.68,97.4,kidney
8.67,39,3.2,3.23,62.7,kidney
20.8,47.6,2,11,124,kidney
2.28,45.3,2.59,3.75,55.5,kidney
27.5,48,1.98,9.8,113,kidney
153,36.5,2.32,56.6,159,kidney
7.85,42.6,2.3,4.5,297,kidney
29.2,42,2.97,8.25,125,kidney
20.5,16,0.5,7.63,103,lung
11.5,20.9,0.24,6.33,125,lung
145,22,0.76,26.8,160,lung
2.38,15.8,0.48,1.66,66,lung
23.6,22.9,0.66,4.46,122,lung
76.6,22.9,0.71,13.3,196,lung
63,48.9,1.14,25.3,94.9,lung
12.2,47.5,1.23,6.64,102,lung
2.6,40.6,1.12,1.54,105,lung
2.1,37.6,2.16,1.44,112,lung
19.1,18.1,0.93,3.09,209,lung
21.9,17.6,0.67,8.14,82.7,lung
63.3,15.8,0.87,19.5,93.3,lung
52.9,21.3,1.41,14.7,76.6,lung
1.54,22.2,0.71,1.12,143,lung
14.3,30,0.75,4.19,175,lung
39.4,32,0.69,11.7,131,lung
79.6,34.3,0.82,21.3,85.8,lung
70.9,26.7,1.08,29.9,91.9,lung
21.2,31.1,0.77,6.16,110,lung
15.2,36.4,0.84,3.55,176,lung
164,25.5,0.81,58.6,168,lung
62.1,22.3,0.831,21.8,134,lung
