year,total_precipitation
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,2.16
1972,5.95
1973,42.25
1974,43.3
1975,63.15
1976,20.93
1977,25.49
1978,16.94
1979,28.19
1980,14.41
1981,16.92
1982,20.09
1983,36.63
1984,22.07
1985,19.26
1986,20.419999999999998
1987,18.03
1988,22.77
1989,50.47
1990,52.86
1991,46.24
1992,47.05
1993,38.92
1994,55.54
1995,147.75
1996,70.19
1997,16.77
1998,16.09
1999,21.92
2000,12.85
2001,23.16
2002,16.4
2003,33.82
2004,20.98
2005,32.91
2006,77.72
2007,29.02
2008,61.8
2009,43.8
2010,34.31
2011,45.83
2012,31.5
2013,42.17
2014,49.19
2015,32.87
2016,24.900000000000002
2017,31.5
2018,9.05
