Date,Open,High,Low,Close,Volume
29-Sep-17,"2,509.96","2,519.44","2,507.99","2,519.36","1,809,911,727"
28-Sep-17,"2,503.41","2,510.81","2,502.93","2,510.06","1,782,169,892"
27-Sep-17,"2,503.30","2,511.75","2,495.91","2,507.04","2,023,404,999"
26-Sep-17,"2,501.04","2,503.51","2,495.12","2,496.84","1,822,049,412"
25-Sep-17,"2,499.39","2,502.54","2,488.03","2,496.66","2,033,920,239"
22-Sep-17,"2,497.26","2,503.47","2,496.54","2,502.22","1,672,336,528"
21-Sep-17,"2,507.16","2,507.16","2,499.00","2,500.60","1,811,929,140"
20-Sep-17,"2,506.84","2,508.85","2,496.67","2,508.24","2,066,413,790"
19-Sep-17,"2,506.29","2,507.84","2,503.19","2,506.65","1,920,071,498"
18-Sep-17,"2,502.51","2,508.32","2,499.92","2,503.87","1,922,720,626"
15-Sep-17,"2,495.67","2,500.23","2,493.16","2,500.23","3,038,855,557"
14-Sep-17,"2,494.56","2,498.43","2,491.35","2,495.62","1,916,765,069"
13-Sep-17,"2,493.89","2,498.37","2,492.14","2,498.37","1,897,322,876"
12-Sep-17,"2,491.94","2,496.77","2,490.37","2,496.48","1,937,393,633"
11-Sep-17,"2,474.52","2,488.95","2,474.52","2,488.11","1,933,077,168"
8-Sep-17,"2,462.25","2,467.11","2,459.40","2,461.43","2,003,871,859"
7-Sep-17,"2,468.06","2,468.62","2,460.29","2,465.10","2,097,113,822"
6-Sep-17,"2,463.83","2,469.64","2,459.20","2,465.54","2,049,759,055"
5-Sep-17,"2,470.35","2,471.97","2,446.55","2,457.85","2,114,362,534"
1-Sep-17,"2,474.42","2,480.38","2,473.85","2,476.55","1,581,548,754"
31-Aug-17,"2,462.65","2,475.01","2,462.65","2,471.65","2,076,949,466"
30-Aug-17,"2,446.06","2,460.31","2,443.77","2,457.59","1,552,245,818"
29-Aug-17,"2,431.94","2,449.19","2,428.20","2,446.30","1,503,811,225"
28-Aug-17,"2,447.35","2,449.12","2,439.03","2,444.24","1,466,541,776"
25-Aug-17,"2,444.72","2,453.96","2,442.22","2,443.05","1,500,901,045"
24-Aug-17,"2,447.91","2,450.39","2,436.19","2,438.97","1,678,956,575"
23-Aug-17,"2,444.88","2,448.91","2,441.42","2,444.04","1,583,454,204"
22-Aug-17,"2,433.75","2,454.77","2,433.67","2,452.51","1,588,713,900"
21-Aug-17,"2,425.50","2,430.58","2,417.35","2,428.37","1,635,773,789"
18-Aug-17,"2,427.64","2,440.27","2,420.69","2,425.55","1,962,081,325"
17-Aug-17,"2,462.95","2,465.02","2,430.01","2,430.01","1,929,351,131"
16-Aug-17,"2,468.63","2,474.93","2,463.86","2,468.11","1,686,069,913"
15-Aug-17,"2,468.66","2,468.90","2,461.61","2,464.61","1,689,633,539"
14-Aug-17,"2,454.96","2,468.22","2,454.96","2,465.84","1,586,223,587"
11-Aug-17,"2,441.04","2,448.09","2,437.85","2,441.32","1,659,262,568"
10-Aug-17,"2,465.38","2,465.38","2,437.75","2,438.21","2,079,314,829"
9-Aug-17,"2,465.35","2,474.41","2,462.08","2,474.02","1,821,056,073"
8-Aug-17,"2,478.35","2,490.87","2,470.32","2,474.92","1,826,290,700"
7-Aug-17,"2,477.14","2,480.95","2,475.88","2,480.91","1,639,568,452"
4-Aug-17,"2,476.88","2,480.00","2,472.08","2,476.83","1,869,113,813"
3-Aug-17,"2,476.03","2,476.03","2,468.85","2,472.16","2,039,487,376"
2-Aug-17,"2,480.38","2,480.38","2,466.48","2,477.57","2,125,483,668"
1-Aug-17,"2,477.10","2,478.51","2,471.14","2,476.35","2,076,284,140"
31-Jul-17,-,-,-,"2,470.30","2,189,633,778"
28-Jul-17,"2,469.12","2,473.53","2,464.66","2,472.10","2,043,353,625"
27-Jul-17,"2,482.76","2,484.04","2,459.93","2,475.42","2,677,231,030"
26-Jul-17,"2,479.97","2,481.69","2,474.94","2,477.83","2,261,843,215"
25-Jul-17,"2,477.88","2,481.24","2,474.91","2,477.13","2,373,901,996"
24-Jul-17,"2,472.04","2,473.10","2,466.32","2,469.91","1,943,950,654"
21-Jul-17,"2,467.40","2,472.54","2,465.06","2,472.54","1,946,504,700"
20-Jul-17,"2,475.56","2,477.62","2,468.43","2,473.45","1,993,809,051"
19-Jul-17,"2,463.85","2,473.83","2,463.85","2,473.83","1,849,694,295"
18-Jul-17,"2,455.88","2,460.92","2,450.34","2,460.61","1,750,952,401"
17-Jul-17,"2,459.50","2,462.82","2,457.16","2,459.14","1,655,943,312"
14-Jul-17,"2,449.16","2,463.54","2,446.69","2,459.27","1,667,639,471"
13-Jul-17,"2,444.99","2,449.32","2,441.69","2,447.83","1,845,640,421"
12-Jul-17,"2,435.75","2,445.76","2,435.75","2,443.25","1,856,436,041"
11-Jul-17,"2,427.35","2,429.30","2,412.79","2,425.53","1,732,498,090"
10-Jul-17,"2,424.51","2,432.00","2,422.27","2,427.43","1,767,990,685"
7-Jul-17,"2,413.52","2,426.92","2,413.52","2,425.18","1,668,167,766"
6-Jul-17,"2,423.44","2,424.28","2,407.70","2,409.75","2,021,300,572"
5-Jul-17,"2,430.78","2,434.90","2,422.05","2,432.54","2,001,771,783"
3-Jul-17,"2,431.39","2,439.17","2,428.69","2,429.01","1,196,618,815"
30-Jun-17,"2,429.20","2,432.71","2,421.65","2,423.41","2,068,473,232"
29-Jun-17,"2,442.38","2,442.73","2,405.70","2,419.70","2,437,153,407"
28-Jun-17,"2,428.70","2,442.97","2,428.02","2,440.69","1,978,838,398"
27-Jun-17,"2,436.34","2,440.15","2,419.38","2,419.38","2,029,472,171"
26-Jun-17,"2,443.32","2,450.42","2,437.03","2,439.07","1,807,411,392"
23-Jun-17,"2,434.65","2,441.40","2,431.11","2,438.30","2,954,290,817"
22-Jun-17,"2,437.40","2,441.62","2,433.27","2,434.50","1,975,028,145"
21-Jun-17,"2,439.31","2,442.23","2,430.74","2,435.61","2,194,972,916"
20-Jun-17,"2,450.66","2,450.66","2,436.60","2,437.03","1,981,272,777"
19-Jun-17,"2,442.55","2,453.82","2,441.79","2,453.46","1,881,642,580"
16-Jun-17,"2,431.24","2,433.15","2,422.88","2,433.15","3,474,905,593"
15-Jun-17,"2,424.14","2,433.95","2,418.53","2,432.46","2,056,413,023"
14-Jun-17,"2,443.75","2,443.75","2,428.34","2,437.92","2,077,560,864"
13-Jun-17,"2,434.15","2,441.49","2,431.28","2,440.35","2,078,679,924"
12-Jun-17,"2,425.88","2,430.38","2,419.97","2,429.39","2,715,835,496"
9-Jun-17,"2,436.39","2,446.20","2,415.70","2,431.77","2,624,857,734"
8-Jun-17,"2,434.27","2,439.27","2,427.94","2,433.79","2,247,662,987"
7-Jun-17,"2,432.03","2,435.28","2,424.75","2,433.14","2,087,405,916"
6-Jun-17,"2,431.92","2,436.21","2,428.12","2,429.33","1,972,388,344"
5-Jun-17,"2,437.83","2,439.55","2,434.32","2,436.10","1,742,362,529"
2-Jun-17,"2,431.28","2,440.23","2,427.71","2,439.07","2,017,388,178"
1-Jun-17,"2,415.65","2,430.06","2,413.54","2,430.06","2,156,064,796"
31-May-17,"2,415.63","2,415.99","2,403.59","2,411.80","2,610,801,638"
30-May-17,"2,411.67","2,415.26","2,409.43","2,412.91","1,776,698,945"
26-May-17,"2,414.50","2,416.68","2,412.20","2,415.82","1,524,512,471"
25-May-17,"2,409.54","2,418.71","2,408.01","2,415.07","2,010,590,494"
24-May-17,"2,401.41","2,405.58","2,397.99","2,404.39","1,797,590,258"
23-May-17,"2,397.04","2,400.85","2,393.88","2,398.42","1,770,956,038"
22-May-17,"2,387.21","2,395.46","2,386.92","2,394.02","1,858,438,550"
19-May-17,"2,371.37","2,389.06","2,370.43","2,381.73","2,249,727,653"
18-May-17,"2,354.69","2,375.74","2,352.72","2,365.72","2,308,543,266"
17-May-17,"2,382.95","2,384.87","2,356.21","2,357.03","2,717,638,993"
16-May-17,"2,404.55","2,405.77","2,396.05","2,400.67","2,039,120,191"
15-May-17,"2,393.98","2,404.05","2,393.94","2,402.32","1,896,371,278"
12-May-17,"2,392.44","2,392.44","2,387.19","2,390.90","1,786,639,028"
11-May-17,"2,394.84","2,395.72","2,381.74","2,394.44","2,024,699,568"
10-May-17,"2,396.79","2,399.74","2,392.79","2,399.63","1,985,193,441"
9-May-17,"2,401.58","2,403.87","2,392.44","2,396.92","1,855,962,757"
8-May-17,"2,399.94","2,401.36","2,393.92","2,399.38","1,845,375,125"
5-May-17,"2,392.37","2,399.29","2,389.38","2,399.29","1,823,789,877"
4-May-17,"2,389.79","2,391.43","2,380.35","2,389.52","2,236,620,277"
3-May-17,"2,386.50","2,389.82","2,379.75","2,388.13","2,270,224,276"
2-May-17,"2,391.05","2,392.93","2,385.82","2,391.17","2,371,688,652"
1-May-17,"2,388.50","2,394.49","2,384.83","2,388.33","1,893,003,482"
28-Apr-17,"2,393.68","2,393.68","2,382.36","2,384.20","2,239,464,723"
27-Apr-17,"2,389.70","2,392.10","2,382.68","2,388.77","2,205,559,179"
26-Apr-17,"2,388.98","2,398.16","2,386.76","2,387.45","2,223,615,893"
25-Apr-17,"2,381.51","2,392.48","2,381.15","2,388.61","2,304,916,837"
24-Apr-17,"2,370.33","2,376.98","2,369.19","2,374.15","2,248,662,130"
21-Apr-17,"2,354.74","2,356.18","2,344.51","2,348.69","2,071,759,000"
20-Apr-17,"2,342.69","2,361.37","2,340.91","2,355.84","2,089,716,231"
19-Apr-17,"2,346.79","2,352.63","2,335.05","2,338.17","1,946,832,750"
18-Apr-17,"2,342.53","2,348.35","2,334.54","2,342.19","1,903,470,745"
17-Apr-17,"2,332.62","2,349.14","2,332.51","2,349.01","1,626,263,722"
13-Apr-17,"2,341.98","2,348.26","2,328.95","2,328.95","1,764,747,362"
12-Apr-17,"2,352.15","2,352.72","2,341.18","2,344.93","1,897,910,285"
11-Apr-17,"2,353.92","2,355.22","2,337.25","2,353.78","1,817,529,614"
10-Apr-17,"2,357.16","2,366.37","2,351.50","2,357.16","1,620,328,913"
7-Apr-17,"2,356.59","2,363.76","2,350.74","2,355.54","1,730,732,345"
6-Apr-17,"2,353.79","2,364.16","2,348.90","2,357.49","1,936,973,655"
5-Apr-17,"2,366.59","2,378.36","2,350.52","2,352.95","2,104,797,919"
4-Apr-17,"2,354.76","2,360.53","2,350.72","2,360.16","1,820,405,464"
3-Apr-17,"2,362.34","2,365.87","2,344.73","2,358.84","2,182,258,164"
31-Mar-17,"2,364.82","2,370.35","2,362.60","2,362.72","1,997,043,936"
30-Mar-17,"2,361.31","2,370.42","2,358.58","2,368.06","1,848,896,263"
29-Mar-17,"2,356.54","2,363.36","2,352.94","2,361.13","1,734,142,857"
28-Mar-17,"2,339.79","2,363.78","2,337.63","2,358.57","1,951,313,548"
27-Mar-17,"2,329.11","2,344.90","2,322.25","2,341.59","1,931,759,835"
24-Mar-17,"2,350.42","2,356.22","2,335.74","2,343.98","1,920,253,678"
23-Mar-17,"2,345.97","2,358.92","2,342.13","2,345.96","1,918,716,637"
22-Mar-17,"2,343.00","2,351.81","2,336.45","2,348.45","2,138,554,725"
21-Mar-17,"2,379.32","2,381.93","2,341.90","2,344.02","2,637,087,666"
20-Mar-17,"2,378.24","2,379.55","2,369.66","2,373.47","1,822,463,497"
17-Mar-17,"2,383.71","2,385.71","2,377.64","2,378.25","3,398,204,726"
16-Mar-17,"2,387.71","2,388.10","2,377.18","2,381.38","1,878,039,166"
15-Mar-17,"2,370.34","2,390.01","2,368.94","2,385.26","2,124,877,753"
14-Mar-17,"2,368.55","2,368.55","2,358.18","2,365.45","1,685,090,225"
13-Mar-17,"2,371.56","2,374.42","2,368.52","2,373.47","1,822,264,173"
10-Mar-17,"2,372.52","2,376.86","2,363.04","2,372.60","2,017,929,799"
9-Mar-17,"2,363.49","2,369.08","2,354.54","2,364.87","2,019,165,372"
8-Mar-17,"2,369.81","2,373.09","2,361.01","2,362.98","2,085,506,267"
7-Mar-17,"2,370.74","2,375.12","2,365.51","2,368.39","1,912,963,515"
6-Mar-17,"2,375.23","2,378.80","2,367.98","2,375.31","1,888,989,012"
3-Mar-17,"2,380.92","2,383.89","2,375.39","2,383.12","1,832,913,368"
2-Mar-17,"2,394.75","2,394.75","2,380.17","2,381.92","2,120,547,995"
1-Mar-17,"2,380.13","2,400.98","2,380.13","2,395.96","2,575,918,105"
28-Feb-17,"2,366.08","2,367.79","2,358.96","2,363.64","2,538,169,006"
27-Feb-17,"2,365.23","2,371.54","2,361.87","2,369.75","1,881,303,612"
24-Feb-17,"2,355.73","2,367.34","2,352.87","2,367.34","2,190,395,580"
23-Feb-17,"2,367.50","2,368.26","2,355.09","2,363.81","2,200,797,996"
22-Feb-17,"2,361.11","2,365.13","2,358.34","2,362.82","1,953,850,309"
21-Feb-17,"2,354.91","2,366.71","2,354.91","2,365.38","2,108,632,113"
17-Feb-17,"2,343.01","2,351.16","2,339.58","2,351.16","2,119,431,713"
16-Feb-17,"2,349.64","2,351.31","2,338.87","2,347.22","2,086,044,777"
15-Feb-17,"2,335.58","2,351.30","2,334.81","2,349.25","2,251,620,057"
14-Feb-17,"2,326.12","2,337.58","2,322.17","2,337.58","2,161,361,274"
13-Feb-17,"2,321.72","2,331.58","2,321.42","2,328.25","1,958,736,592"
10-Feb-17,"2,312.27","2,319.23","2,311.10","2,316.10","2,067,124,621"
9-Feb-17,"2,296.70","2,311.08","2,296.61","2,307.87","2,118,564,108"
8-Feb-17,"2,289.55","2,295.91","2,285.38","2,294.67","2,113,479,926"
7-Feb-17,"2,295.87","2,299.40","2,290.16","2,293.08","2,079,166,228"
6-Feb-17,"2,294.28","2,296.18","2,288.57","2,292.56","1,902,540,482"
3-Feb-17,"2,288.54","2,298.31","2,287.88","2,297.42","2,208,634,271"
2-Feb-17,"2,276.69","2,283.97","2,271.65","2,280.85","2,321,960,100"
1-Feb-17,"2,285.59","2,289.14","2,272.44","2,279.55","2,478,979,663"
31-Jan-17,"2,274.02","2,279.09","2,267.21","2,278.87","2,555,320,206"
30-Jan-17,"2,286.01","2,286.01","2,268.04","2,280.90","2,108,083,825"
27-Jan-17,"2,299.02","2,299.02","2,291.62","2,294.69","1,999,261,103"
26-Jan-17,"2,298.63","2,300.99","2,294.08","2,296.68","2,333,681,818"
25-Jan-17,"2,288.88","2,299.55","2,288.88","2,298.37","2,461,512,021"
24-Jan-17,"2,267.88","2,284.63","2,266.68","2,280.07","2,229,227,176"
23-Jan-17,"2,267.78","2,271.78","2,257.02","2,265.20","1,990,552,394"
20-Jan-17,"2,269.96","2,276.96","2,265.01","2,271.31","2,311,814,026"
19-Jan-17,"2,271.90","2,274.33","2,258.41","2,263.69","2,041,282,775"
18-Jan-17,"2,269.14","2,272.01","2,263.35","2,271.89","1,998,643,920"
17-Jan-17,"2,269.14","2,272.08","2,262.81","2,267.89","2,212,200,212"
13-Jan-17,"2,272.74","2,278.68","2,271.51","2,274.64","1,780,997,918"
12-Jan-17,"2,271.14","2,271.78","2,254.25","2,270.44","1,937,385,140"
11-Jan-17,"2,268.60","2,275.32","2,260.83","2,275.32","2,118,289,876"
10-Jan-17,"2,269.72","2,279.27","2,265.27","2,268.90","2,138,024,556"
9-Jan-17,"2,273.59","2,275.49","2,268.90","2,268.90","1,914,652,521"
6-Jan-17,"2,271.14","2,282.10","2,264.06","2,276.98","1,957,181,141"
5-Jan-17,"2,268.18","2,271.50","2,260.45","2,269.00","2,187,189,991"
4-Jan-17,"2,261.60","2,272.82","2,261.60","2,270.75","2,097,360,283"
3-Jan-17,"2,251.57","2,263.88","2,245.13","2,257.83","2,318,947,704"
30-Dec-16,"2,251.61","2,253.58","2,233.62","2,238.83","1,580,595,290"
29-Dec-16,"2,249.50","2,254.51","2,244.56","2,249.26","1,264,830,314"
