case_id,offender_race,victim_race,sentence
1,white,white,jail
2,black,black,jail
3,black,black,jail
4,black,black,jail
5,white,black,jail
6,black,black,jail
7,black,black,jail
8,black,black,jail
9,black,black,jail
10,black,black,jail
11,black,white,jail
12,white,white,jail
13,black,black,jail
14,black,black,jail
15,black,black,jail
16,black,black,jail
17,black,black,jail
18,white,white,jail
19,black,white,jail
20,black,black,jail
21,white,white,jail
22,white,white,jail
23,black,black,jail
24,white,white,jail
25,white,white,jail
26,black,white,jail
27,black,black,jail
28,black,black,jail
29,white,white,jail
30,white,white,jail
31,white,white,jail
32,black,black,jail
33,black,white,death
34,white,white,jail
35,white,black,jail
36,black,white,jail
37,white,white,jail
38,white,white,jail
39,black,white,jail
40,white,white,jail
41,black,black,jail
42,white,white,death
43,white,white,jail
44,black,black,jail
45,black,white,jail
46,white,white,jail
47,black,black,jail
48,black,white,jail
49,white,white,jail
50,white,white,jail
51,black,black,jail
52,white,white,jail
53,black,black,jail
54,black,black,jail
55,black,black,jail
56,black,black,jail
57,white,white,jail
58,black,black,jail
59,white,white,jail
60,white,white,jail
61,white,white,jail
62,black,white,jail
63,black,black,jail
64,white,white,jail
65,black,black,jail
66,black,white,jail
67,black,black,jail
68,black,black,jail
69,white,white,jail
70,white,white,jail
71,black,black,jail
72,white,white,jail
73,black,black,jail
74,black,black,jail
75,white,white,jail
76,white,white,jail
77,black,black,jail
78,white,white,jail
79,white,white,jail
80,black,black,jail
81,black,black,jail
82,black,black,jail
83,white,white,jail
84,white,white,jail
85,black,black,jail
86,white,white,jail
87,white,white,jail
88,white,white,jail
89,white,white,jail
90,white,white,jail
91,white,white,jail
92,white,white,jail
93,black,black,jail
94,white,white,jail
95,black,black,jail
96,black,black,jail
97,black,black,jail
98,white,white,jail
99,white,white,jail
100,white,white,jail
101,black,black,jail
102,black,black,jail
103,white,white,jail
104,black,black,jail
105,black,black,jail
106,black,black,jail
107,white,white,jail
108,black,black,jail
109,white,white,jail
110,white,white,jail
111,black,black,jail
112,white,white,jail
113,black,black,jail
114,black,black,jail
115,white,white,jail
116,white,white,jail
117,black,black,jail
118,white,white,jail
119,black,black,jail
120,black,white,jail
121,black,black,jail
122,black,black,death
123,black,black,jail
124,black,black,jail
125,black,white,jail
126,white,white,jail
127,black,black,jail
128,black,black,jail
129,black,black,jail
130,black,black,jail
131,white,white,jail
132,black,black,jail
133,black,white,jail
134,black,white,death
135,white,white,jail
136,white,white,jail
137,black,black,jail
138,black,black,jail
139,white,white,jail
140,black,black,jail
141,white,white,jail
142,black,black,jail
143,white,white,jail
144,black,black,jail
145,white,white,jail
146,black,white,jail
147,black,black,jail
148,black,black,jail
149,white,white,jail
150,black,black,jail
151,white,white,jail
152,black,white,jail
153,white,white,jail
154,black,black,jail
155,black,black,jail
156,black,black,jail
157,white,white,jail
158,black,black,jail
159,white,white,jail
160,white,white,jail
161,white,white,jail
162,white,white,jail
163,white,white,jail
164,black,black,jail
165,white,white,jail
166,white,white,jail
167,black,black,jail
168,black,black,jail
169,black,black,jail
170,white,white,jail
171,black,black,jail
172,white,white,jail
173,black,black,jail
174,black,white,jail
175,black,black,jail
176,white,white,jail
177,black,black,jail
178,black,black,jail
179,white,white,jail
180,black,black,jail
181,black,black,jail
182,black,black,jail
183,white,white,jail
184,black,white,jail
185,white,white,jail
186,black,black,jail
187,white,white,jail
188,black,black,jail
189,black,white,jail
190,white,white,jail
191,white,white,death
192,black,black,jail
193,white,white,jail
194,white,white,jail
195,black,black,jail
196,white,white,jail
197,white,white,jail
198,white,white,jail
199,white,white,jail
200,white,white,jail
201,black,black,jail
202,white,white,jail
203,black,black,jail
204,black,black,jail
205,black,black,jail
206,black,black,jail
207,white,white,jail
208,white,white,jail
209,black,black,jail
210,white,white,jail
211,white,white,jail
212,black,black,jail
213,white,white,jail
214,black,black,jail
215,white,white,jail
216,black,white,jail
217,white,white,jail
218,white,white,jail
219,white,white,jail
220,black,white,jail
221,black,black,jail
222,white,white,jail
223,black,black,jail
224,white,white,jail
225,white,white,jail
226,white,white,jail
227,white,black,jail
228,black,black,jail
229,black,black,jail
230,black,black,jail
231,white,white,jail
232,white,white,jail
233,black,black,jail
234,white,white,jail
235,white,white,jail
236,black,black,jail
237,white,white,jail
238,white,white,jail
239,white,white,jail
240,black,white,jail
241,black,white,jail
242,black,black,jail
243,white,white,jail
244,white,white,jail
245,black,black,jail
246,white,white,jail
247,black,black,jail
248,white,white,jail
249,black,black,jail
250,black,black,jail
251,white,white,jail
252,black,white,jail
253,white,white,jail
254,black,black,jail
255,white,white,jail
256,white,white,jail
257,white,white,jail
258,black,black,jail
259,white,white,jail
260,black,black,jail
261,black,black,jail
262,white,white,jail
263,black,black,jail
264,black,black,jail
265,white,white,jail
266,white,white,jail
267,black,black,jail
268,white,white,jail
269,black,black,jail
270,white,white,jail
271,white,white,jail
272,black,black,jail
273,black,black,jail
274,black,black,jail
275,black,black,jail
276,white,white,jail
277,white,white,jail
278,white,black,jail
279,black,black,jail
280,white,white,jail
281,black,black,jail
282,black,black,jail
283,black,black,jail
284,white,white,jail
285,black,white,jail
286,white,white,jail
287,white,white,jail
288,white,white,death
289,white,white,jail
290,white,white,jail
291,white,white,jail
292,white,white,jail
293,black,white,jail
294,white,white,jail
295,white,white,jail
296,white,white,jail
297,white,white,jail
298,black,black,jail
299,white,white,jail
300,black,black,jail
301,white,white,jail
302,white,white,jail
303,black,black,jail
