respondent_id,approve_president
3068,Disapprove
2925,Disapprove
1834,Disapprove
508,Approve
2016,Approve
1890,Approve
2205,Approve
531,Approve
2198,Disapprove
1525,Approve
1638,Disapprove
219,Approve
1625,Approve
779,Approve
519,Disapprove
936,Disapprove
3661,Disapprove
941,Disapprove
858,Disapprove
3781,Disapprove
3993,Disapprove
184,Approve
34,Approve
1033,Approve
249,Disapprove
2561,Disapprove
2784,Disapprove
1596,Approve
3222,Disapprove
76,Disapprove
2362,Disapprove
3596,Approve
2884,Disapprove
1817,Disapprove
1715,Disapprove
906,Approve
1447,Disapprove
741,Disapprove
3223,Disapprove
4018,Disapprove
1629,Approve
3550,Disapprove
594,Disapprove
2472,Disapprove
3775,Disapprove
2810,Approve
3989,Approve
162,Approve
777,Approve
2075,Disapprove
2691,Approve
3545,Approve
293,Approve
3791,Disapprove
1317,Approve
1296,Disapprove
2866,Disapprove
2770,Approve
1543,Disapprove
4092,Disapprove
521,Approve
2396,Approve
3411,Disapprove
614,Disapprove
2656,Disapprove
89,Approve
1098,Disapprove
1107,Disapprove
3543,Approve
3305,Disapprove
1663,Disapprove
1743,Disapprove
775,Approve
2400,Disapprove
875,Disapprove
1030,Approve
1147,Approve
3160,Disapprove
3597,Approve
2783,Disapprove
367,Disapprove
1863,Approve
3318,Approve
3639,Disapprove
2728,Disapprove
2920,Approve
1569,Approve
3848,Approve
103,Approve
3473,NA
1673,Disapprove
14,Approve
119,Approve
1843,Disapprove
3790,Disapprove
654,Disapprove
102,Disapprove
2382,Disapprove
40,Disapprove
2078,Approve
2311,Disapprove
1050,Approve
3278,Approve
2526,Disapprove
2334,Approve
2680,Disapprove
4145,Disapprove
2151,Disapprove
2693,Approve
1623,Disapprove
3970,Disapprove
2072,Disapprove
1307,Disapprove
1654,Approve
377,Disapprove
4147,Approve
3783,Approve
3853,Disapprove
2767,Approve
2159,Disapprove
3995,Disapprove
3815,Disapprove
701,Disapprove
2539,Disapprove
455,Disapprove
3987,Disapprove
1772,Disapprove
3117,Approve
1445,Disapprove
1172,Disapprove
1610,Approve
513,Approve
1344,Disapprove
3573,Approve
829,Disapprove
2701,Approve
3159,Disapprove
1255,Disapprove
3353,Approve
304,Approve
2637,Disapprove
259,Disapprove
525,Approve
641,Disapprove
3747,Approve
687,Approve
3494,Approve
94,Approve
3510,Approve
450,Approve
1727,Disapprove
1492,Disapprove
1353,Disapprove
1994,Approve
1847,Disapprove
1304,Disapprove
1139,Disapprove
1448,Disapprove
3847,Approve
3928,Disapprove
1644,Approve
1812,Approve
3236,Disapprove
1787,Disapprove
1592,Disapprove
2628,Approve
1508,Approve
3894,Disapprove
3493,Disapprove
1962,Disapprove
3952,Disapprove
991,Disapprove
1382,Disapprove
3029,Approve
2553,Disapprove
669,Disapprove
2615,Approve
844,Disapprove
1956,Approve
243,Disapprove
1330,Disapprove
4103,Approve
4030,Disapprove
1632,Approve
3999,Disapprove
2395,Approve
2414,Approve
3010,Disapprove
3988,Disapprove
1094,Approve
786,Disapprove
1682,Approve
1460,Approve
46,Disapprove
2331,Approve
2781,Disapprove
691,Disapprove
1784,Disapprove
4071,Approve
2413,Disapprove
2974,Disapprove
1552,Disapprove
4082,Approve
3536,Approve
2759,Approve
3982,Disapprove
267,Disapprove
2101,Approve
3875,Approve
2811,Approve
1905,Approve
3470,Disapprove
1456,Approve
806,Disapprove
2688,Disapprove
2644,Disapprove
2734,Disapprove
2611,Disapprove
1144,Approve
2435,Approve
2930,Approve
467,Approve
2717,Disapprove
1060,Approve
960,Disapprove
1541,Disapprove
2663,Disapprove
690,Disapprove
980,Approve
795,Disapprove
2452,Disapprove
728,Approve
1108,Disapprove
1688,Disapprove
2749,Approve
530,Disapprove
1458,Disapprove
1042,Disapprove
1570,Approve
721,Disapprove
1911,Approve
1260,Approve
2668,Approve
441,NA
2125,Disapprove
4003,Approve
3918,Disapprove
4117,Approve
3841,Disapprove
2458,Approve
3603,Disapprove
1583,Approve
681,Approve
1421,Disapprove
3434,Disapprove
1000,Disapprove
2434,Disapprove
236,Disapprove
4024,Disapprove
1196,Approve
1312,Disapprove
1195,Disapprove
2581,Disapprove
2835,Approve
2529,Disapprove
1711,Approve
3954,Disapprove
1943,Disapprove
2509,Approve
2799,Approve
2947,Disapprove
1936,Approve
2007,Approve
698,Disapprove
2318,Disapprove
1866,Disapprove
2540,Disapprove
2447,Approve
2888,Approve
95,Approve
620,Approve
1894,Disapprove
663,Disapprove
689,Approve
3780,Disapprove
820,Disapprove
738,Disapprove
2348,Approve
2662,Approve
3427,Approve
3757,Approve
1853,Disapprove
633,Approve
305,Disapprove
1752,Approve
2154,Approve
1091,Disapprove
2528,Disapprove
1718,Disapprove
2877,Disapprove
1209,Disapprove
3454,Approve
3352,Disapprove
2562,Approve
2105,Approve
2906,Approve
1386,Disapprove
3880,Disapprove
3300,Approve
2772,Disapprove
2116,Disapprove
488,Disapprove
78,Disapprove
2203,Approve
1469,Approve
3777,Approve
750,Disapprove
3855,Disapprove
591,Approve
3179,Disapprove
3620,Disapprove
2661,Approve
3449,Disapprove
3366,Approve
2133,Disapprove
1254,Disapprove
2025,Disapprove
8,Disapprove
782,Disapprove
86,Approve
3752,Approve
1363,Disapprove
2758,Approve
389,Disapprove
3115,Disapprove
3157,Disapprove
1762,Disapprove
800,Disapprove
1618,Approve
341,Approve
2112,Disapprove
2110,Disapprove
2322,Approve
4141,Disapprove
1835,Disapprove
2455,Disapprove
2255,Approve
2047,Approve
3621,Disapprove
3923,Disapprove
873,Approve
3388,Approve
3714,Disapprove
849,Approve
1664,Approve
2635,Disapprove
277,Approve
163,Approve
3786,Disapprove
10,Disapprove
3513,Disapprove
1581,Disapprove
481,Disapprove
3460,Approve
3087,Disapprove
3997,Approve
685,Approve
2878,Disapprove
1193,Approve
507,Approve
477,Approve
2493,Disapprove
1118,Disapprove
546,Disapprove
4061,Approve
1038,Approve
2157,Disapprove
206,Disapprove
4130,Disapprove
1471,Disapprove
2394,Disapprove
2220,Approve
1854,Approve
2048,Approve
3373,Disapprove
1472,Approve
2300,Approve
325,Disapprove
2398,Disapprove
2416,Approve
316,Disapprove
3186,Disapprove
2574,Disapprove
3564,Disapprove
4037,Approve
3392,NA
1146,Approve
2830,Disapprove
3098,Approve
387,Approve
1129,Disapprove
1219,Disapprove
1003,Approve
3560,Disapprove
3561,Approve
3888,Approve
3055,Approve
75,Disapprove
161,Disapprove
4160,Disapprove
1831,Approve
898,Approve
3244,Disapprove
1646,Disapprove
3263,Approve
3828,Disapprove
408,Approve
1200,Disapprove
1015,Approve
1065,Disapprove
416,Approve
1888,Approve
360,Approve
996,Disapprove
3508,Disapprove
2742,Disapprove
428,Disapprove
2546,Disapprove
28,Approve
2570,Approve
141,Approve
2867,Approve
1159,Disapprove
904,Disapprove
2790,Approve
2682,Approve
897,Disapprove
463,Approve
3471,Approve
1279,Disapprove
2660,Disapprove
3726,Disapprove
443,Approve
3199,Disapprove
1756,Disapprove
730,Disapprove
3713,Disapprove
1669,Disapprove
56,Disapprove
524,Disapprove
179,Disapprove
1851,Approve
1965,Approve
2966,Approve
3699,Disapprove
1132,Disapprove
2339,Approve
842,Disapprove
4041,Approve
31,Disapprove
2746,Disapprove
1374,Approve
1153,Disapprove
4146,Approve
1875,Approve
3125,Disapprove
2208,Disapprove
2582,Disapprove
1794,Approve
1122,Approve
3000,Approve
2267,Approve
3310,Approve
417,Approve
2137,Approve
2551,Disapprove
1846,Approve
969,Approve
1510,Disapprove
235,Disapprove
337,Disapprove
2646,Approve
2380,Approve
3720,Disapprove
64,Approve
2917,Approve
700,Disapprove
2808,Disapprove
194,Approve
1377,Disapprove
2972,Approve
2763,Approve
664,Approve
2315,Disapprove
1678,Disapprove
2367,Approve
2113,Approve
1342,Approve
704,Disapprove
771,Disapprove
16,Disapprove
388,Disapprove
2355,Approve
2436,Disapprove
1479,Approve
770,Disapprove
3678,NA
2543,Disapprove
370,Approve
3677,Approve
3374,Approve
3124,Disapprove
879,Disapprove
4107,Approve
1588,Disapprove
3796,Approve
112,Approve
